Artillery Company of Newport,"23 Clark Street
", 512-245-2313, 512-245-7431, thewittliffcollections@txstate.edu, www.thewittliffcollections.txstate.edu,"Art,Culture,History,Library,Specialized,University,,Services,Online Gift ShopSpecial Event Rental,Group Tours,","Steve L Davis, Sr Curator, Writers Collection/Interim Director",phone: 512-245-9180,e-mail: sd03@txstate.edu,"Carla Ellard, Senior Curator, Photography Collection",phone: 512-245-1399,e-mail: ce10@txstate.edu,"Beverly Fondren, Development Officer",phone: 512-245-9058,e-mail: bf12@txstate.edu,"Katie Salzmann, Lead Archivist",phone: 512-245-3861,e-mail: ks31@txstate.edu,"Joel Minor, Archivist",phone: 512-245-3229,e-mail: jm206@txstate.edu,"Mary Garcia, Archives Assistant",phone: 512-245-3662,e-mail: mg10@txstate.edu,"Michele Miller, Media Relations & Publications Specialst",phone: 512-245-1442,e-mail: mm57@txstate.edu,"GG Mortenson, Office Manager",phone: 512-245-7410,e-mail: gm26@txstate.edu,"Amy Cochran, Events Manager",phone: 512-245-2907,e-mail: ac30@txstate.edu,,
Wofford House Museum,"PO Box 2231
Athens, TX 75751
",,, etabs@tvec.net,,"History,",,
Wolf Creek Heritage Museum,"Highway 305 and Main
Lipscomb, TX 79056
", 806-852-2123, 806-852-2172, wolfcrk@amaonline.com, www.wolfcreekheritagemuseum.com,"Art,History,","Virginia Scott, Director",e-mail: wolfcrk@amaonline.com,"Dorothy Schoenhals, Manager - grants, cemetery/ranch historical designation; Board Secretary/treasurer",,"Georgia Couch, Manager - exhibition design",,"Lovella Theissen, Manager - collection/obituitaries",,"Kellie Kjos, Manager - Past Perfect data base",,,
The Women's Museum,"3800 Parry Avenue
Dallas, TX 75226
", 214-915-0860, 214-915-0870,, www.thewomensmuseum.org,"History,","Wanda R. Brice, Chief Executive Officer",phone: 214-915-0863,e-mail: wanda.brice@thewomensmuseun.org,"Jesusita Santillan, Executive Assistant",phone: 214-915-0862,e-mail: Jesusita.Santillan@thewomensmuseum.org,"Lyn Scott, Finance Manager",phone: 214-915-0879,e-mail: lyn.scott@thewomensmuseum.org,"Fran Lobpries, Development Director",phone: 214-915-0878,e-mail: fran.lobpries@thewomensmuseum.org,"Connie Carr, Development Associate",phone: 214-915-0872,e-mail: connie.carr@thewomensmuseum.org,"Kenzie Causey, Membership Coordinator",phone: 214-915-0884,e-mail: kenzie.causey@thewomensmuseum.org,"Denita Powell Malvem, Education/Programs Manager",phone: 214-915-0890,e-mail: denita.powell@thewomensmuseum.org,"Karen Colberts, Programs/Tour Coordinator",phone: 214-915-0895,e-mail: karen.colberts@thewomensmuseum.org,"Tara Kirk, Registrar & Exhibits Manager",phone: 214-915-0873,e-mail: tara.kirk@thewomensmuseum.org,"Haley Curry, Marketinmg Manager",phone: 214-915-0871,e-mail: haley.curry@thewomensmuseum.org,"Shana Hamilton, Events Manager",phone: 214-915-0869,e-mail: shana.hamilton@thewomensmuseum.org,"Lisa Ream, Volunteer Coordinator",phone: 214-915-0874,e-mail: lisa.ream@thewomensmuseum.org,"Betty Lawson, Visitor/Store Representative",phone: 214-915-0881,e-mail: betty.lawson@thewomensmuseum.org,"Everett Stegall, Facilities Manager",phone: 972-567-8683,e-mail: everett.stegall@thewomensmuseum.org,,
Wooden Nickel Historical Museum,"345 Austin Rd.
San Antonio, TX 78209
", 210-829-1291, 210-832-8965, museum@wooden-nickel.net,,"History,",,
Woodlands Science & Art Center - CLOSED,"4800 Research Forest Drive
The Woodlands, TX 77381
",,,,,,,
The World War II Memorial Museum,"11840 Wurzbach
San Antonio, TX 78230
", 210-408-1945, 210-492-3586, wwiissf@world-net.net, www.wwiimuseum-sa.org,"History,Specialized,","Steven Stoli, Executive Director",,"Modrea Mitchell Riechert, Information/Web",,"Judy Woller, Playwrighting Competition",,,
Worth Ranch Boy Scout Museum,"Worth Ranch Road
Palo Pinto, TX 76484
",,, mgljcl@flash.net,,"History,Natural History,Science,","Maurice G. Lambert, Curator and members",phone: 818-838-8858,e-mail: mgljcl@flash.net,,
Wright Museum,"5990 George Bush Drive
Katy, TX 77493
",,, info@katyheritagesociety.com, www.katyheritagesociety.com,"History,Historic House,","Carol Adams, Executive Director",phone: 281-391-2550,e-mail: katyheritage@aol.com,,
XIT Museum,"Dalhart, TX 79022
", 806-249-5390,,, www.xitmuseum.com,,,
Yoakum Heritage Museum,"312 Simpson
Yoakum, TX 77995
", 361-293-7022,, yoakumheritagemuseum@gmail.com, www.yoakumareachamber.com/pages/yoakumheritagemuseum.html,"Culture,History,Historic House,","Geri Mehan, Executive Director",phone: 361-293-7002,,
Yorktown Historical Museum,"144 W. Main St.
Yorktown, TX 78164
", 361-564-9115,,, www.yorktownmuseum.com/,"Historic House,","Beverly Kerlick Bruns, President",,,
Z. Taylor Brown-Sarah Dorsey House,"213 N. Weatherford
Midland, TX 79701
", 915-682-2931,,,,"Historic House,",,
Z.I. Hale Museum,"Winters, TX 79567
", 915-754-2036,, tft@texasfortstrail.com, www.texasfortstrail.com,"History,",Michael Pumphrey,,,
Alf Engen Ski Museum,"4534 Fortuna Way
Salt Lake City, UT 84124
",,,, www.engenmuseum.org,"Specialized,",,
Alliance for the Arts,"35 West 100 South
Logan, UT 84321
", 435-753-2970, 435-753-2970, ava_gallery@yahoo.com, www.avaarts.org,"Art,Children's,,Services,Gift ShopSpecial Event Rental,","Jenny Allen, Marketing Coordinator",,,
Anasazi State Park Museum,"State Route 12.
Boulder, UT 84716
", 435-335-7308,, anasazi@utah.gov, www.stateparks.utah.gov/park_pages/anasazi.htm,"History,Park,Specialized,",,
Art Gallery,"2001 University Cir
Ogden, UT 84408
", 801-626-7689,, danfear@hotmail.com,,"Art,",,
Art Gallery,"Provo, UT 84602
",,,, www.provo.lib.ut.us/policy_art_gallery.html,"Art,",,
The Beehive House,"67 East South Temple
Salt Lake City, UT 84111
", 800-200-1160,,, www.utah.com/mormon/beehive_house.htm,"History,Historic House,",,
Benson Grist Mill,"325 State Road 138
Stansbury Park, UT 84074
", 435-882-7678, 435-882-6003, BensonMill@trilobyte.net, www.bensonmill.org,"History,",,
Bonneville Speedway Museum,"900 Wendover Blvd,
Wendover, UT 84083
", 775-664-4400,,,,"Culture,History,Specialized,",,
Bountiful Historical Preservation Foundation,"845 South Main, suite B5
Bountiful, UT 84010
", 801-296-2060,,, www.bountifulutah.gov/HistoricalCommission/index.html,"Culture,History,Historic House,Historical Society,Library,,Services,Gift ShopGroup Tours,","Elaine Holbrook, Family & Personal Histories",,"Sandy Inman, Historical Curricula for schools & public",,"Barbara Manfull, Native American History, and Artist",,"Randy Goodrich, Historical Tours, and Advertising",,"Joyce Benard, Historian of Schools & Oral Histories",,"Annette Nelson, Historian of local cemeteries & records",,"Lloyd Carr, Business & Finance and fund raising",,"Tom Tolman, Board Member",,,
Bountiful-Davis Art Center,"745 S. Main Street
Bountiful, UT 84010
", 801-292-0367, 801-292-7298,, www.bdac.org,"Art,","Emma J. Dugal, Executive Director",e-mail: emmadugal@bdac.org,,
Box Elder Museum,"641 East 200 North
Brigham City, UT 84302
", 435-723-6769,, klandon@brighamcity.utah.gov, www.boxeldermuseum.org,"Archaeology,Natural History,Science,","Kaia Landon, Director",e-mail: klandon@brighamcity.utah.gov,,
Braithwaite Fine Arts Gallery,"351 West Center
Cedar City, UT 84720
", 435-586-5432, 435-865-8012, museums@suu.edu, www.suu.edu/pva/artgallery/,"Art,",,
Brigham City Museum,"24 North 300 West
Brigham City, UT 84302
", 435-723-6769,, klandon@brighamcity.utah.gov, www.brighamcitymuseum.org,"Art,Culture,History,,Services,Gift ShopGroup Tours,","Kaia Landon, Director",e-mail: klandon@brighamcity.utah.gov,,
Brigham Young Winter Home,"89 West 100 North
Saint George, UT 84770
", 435-673-5181,,, www.utah.com/mormon/brigham_young_winter_home.htm,"Historic House,",,
Cache County Daughters of Utah Pioneers,"160 North Main Street
Logan, UT 84321
", 435-752-5139,,,,"History,",,
Charles W. Penrose Cabin Museum,"272 North Main
Farmington, UT 84025
", 801-451-2357,,,,"History,",,
Chase Home Museum of Utah Folk Art/Folk Art,"617 East South Temple
Salt Lake City, UT 84102
",,,,,"Art,","Dennis Elsbury, Communications/Marketing Specialist",e-mail: delsbury@utah.gov,,
The Children's Museum of Utah/Exhibits for Children,"840 North 300 West
Salt Lake City, UT 84103
", 801-328-3383, 801-328-3384,, www.childmuseum.org,"Children's,","Darlene Turner, Executive Deputy Director",e-mail: dturner@childmuseum.org,"Franny Trexler, Director of Administration",e-mail: ftrexler@childmuseum.org,,
Church History Museum,"45 North West Temple
Salt Lake City, UT 84150
", 801-240-4615, 801-240-5342, churchmuseum@ldschurch.org, lds.org/museum,"Art,Church,Culture,General,History,,Services,Gift Shop,","Patrick Dunshee, Marketing and Communications",e-mail: dunsheepc@ldschurch.org,"Adam Watson, Staff",e-mail: awatson@ldschurch.org,,
City Center Daughters of Utah Pioneers,"439 West Utah Avenue
Payson, UT 84651
", 801-465-9017,,,,"Specialized,",,
Clark Planetarium,"110 S 400 W
Salt Lake City, UT 84101
", 801-456-7827, 801-456-4978,, www.clarkplanetarium.org,"Children's,History,Planetarium,Science,Specialized,","Seth Jarvis, Director",phone: 801-456-4921,,
"College of Eastern Utah Art Gallery, Gallery East","451 East 400 North
Price, UT 84501
", 453-637-2120,,,,"Art,",,
Court House Museum/History,"90 East Center Street
Beaver, UT 84713
",,,,,"-5,Admissionsfree admission",,
Dan O'Laurie Museum,"Dan O'Laurie Museum of Moab
118 E. Center Street
Moab, UT 84532
", 435-259-7985,,, www.moab-utah.com/danolaurie/museum.html,"Culture,General,History,","Rusty Salmon, Co-curator",phone: 435-259-7985,e-mail: moabmuseum@frontiernet.net,,
Daughters of Utah Pioneers,"300 East 100 South
Centerville, UT 84014
",,,,,"y 4th, July 24th, and by appointment.",,
Daughters of Utah Pioneers,"2654 East Center
Glenwood, UT 84739
", 435-882-6801, 435-833-0343,, www.co.tooele.ut.us/ht61_daughters.html,y 24th and by appointment.,,
Daughters of Utah Pioneers,"63 West Center Street
Levan, UT 84639
", 435-882-6801, 435-833-0343,, www.co.tooele.ut.us/ht61_daughters.html,h or by appointment,"Carol Cluff, Director",phone: 435-882-4992,e-mail: jcluff@trilobyte.net,,
Daughters of Utah Pioneers,"185 South Center Street
Redmond, UT 84652
", 801-529-3342,,,,appointment.,,
Daughters of Utah Pioneers,"300 N. Main St
Salt Lake City, UT 84701
", 801-532-6479, 801-532-4436, info@dupinternational.org, www.dupinternational.org,appointment.,,
Daughters of Utah Pioneers,"200 North 200 West
Salina, UT 84654
", 435-529-7622,,,,"History,Historic House,Historical Society,",,
Daughters of Utah Pioneers,"Escalante, UT 84726
", 435-826-4301,,,,appointment.,,
Daughters of Utah Pioneers,"Hatch, UT 84735
", 435-735-4207,,,,appointment,,
Daughters of Utah Pioneers,"155 North Main Street
Monroe, UT 84754
", 435-527-4382,,,,appointment.,,
Daughters of Utah Pioneers Museum in Tooele,"39 East Vine Street
Tooele, UT 84074
", 435-843-0771,, info@duptooeleco.org, www.duptooeleco.org/,"History,Historical Society,,Services,Gift Shop,","Carol Cluff, Museum Director",phone: 435-882-4992,e-mail: jcluff@trilobyte.net,"Gwen Roberts, Website Director",phone: 435-882-6801,e-mail: isew10@trilobyte.net,,
Daughters of Utah Pioneers & Relic Hall,"50 South 100 East
American Fork, UT 84003
", 801-756-2135,,,,"12:00-5:00,Admissionsfree admission",,
Daughters of Utah Pioneers/History,"Fourth North and Main
Spanish Fork, UT 84660
",,,,,0-5:30,,
Daughters of Utah Pioneers/History,"65 North Main Street
Kanosh, UT 84637
",,,,,appointment.,,
Daughters of Utah Pioneers/History,"Nephi, UT 84648
", 435-623-0331,,,,appointment.,,
Daughters of Utah Pioneers/Patton House,"190 West 200 North
Manti, UT 84642
", 435-835-4411,,,,ntment and opened daily during Manti Pageant.,,
The Dinosaur Museum,"754 South 200 West
Blanding, UT 84511
", 435-678-3454,, dinos@dinosaur-museum.org, www.dinosaur-museum.org,"Natural History,",,
Dinosaur National Monument/Paleontology,"Hwy 40
Jensen, UT 84035
", 970-374-3000, 970-374-3003,, www.nps.gov/dino/,0 (longer hours in summer).,,
Donner Reed Museum,"90 North Cooley
Grantsville, UT 84029
", 435-884-0824,,, www.donner-reed-museum.org/4.phtml,appointment.,,
Earth Science Museum,"1683 N Canyon Rd
Provo, UT 84602
", 801-378-3680, 801-378-7919, rod_scheetz@byu.edu, cpms.byu.edu/ESM/,"Natural History,","Rodney D. Scheetz, Ph.D., Curator/Manager",e-mail: rod_scheetz@byu.edu,,
Eccles Community Art Center,"2580 Jefferson Avenue
Ogden, UT 84401
", 801-392-6935,, eccles@ogden4arts.org, www.ogden4arts.org,"Art,","Pat Poce, Executive Director",e-mail: eccles@ogden4arts.org,,
Edge of the Cedars,"660 West 400 North
Blanding, UT 84511
", 435-678-2238,, edgeofthecedars@utah.gov, www.stateparks.utah.gov/park_pages/edge.htm,"o May 15, M-Sun 9:00-5:00; May 16 to Sep 15, 9:00-6:00; closed major holidays (from Nov-Feb),Admissionsadmission $1.50 16 and over, $1.00 6-16.",,
Emery County Pioneer Museum,"93 East 100 North
Castle Dale, UT 84513
", 435-636-3701,, kathy.smith@carbon.utah.gov, www.castlecountry.com/what_to_do/emery_pioneer_museum.html,"History,",,
Fairview Museum of History and Art,"85 North 100 East
Fairview, UT 84629
", 435-427-9216,, fvmuseum@cut.net, fairviewmuseum.org,"Art,General,History,Library,,Services,Gift ShopGroup Tours,","Don Stewart, Curator",,,
Finch Lane Gallery,"54 Finch Lane
Salt Lake City, UT 84102
",,,,,"Art,",,
Fort Buenaventura Park,"2450 A Avenue
Ogden, UT 84401
", 801-399-8491,,, www.co.weber.ut.us/parks/,"General,History,Historic House,Park,","Ashley Earl, Office Coordinator",phone: 801-399-8491,e-mail: aearl@co.weber.ut.us,,
Fort Douglas Military Museum/Specialized,"32 Potter Street
Fort Douglas, UT 84113
", 801-581-1251,,, www.fortdouglas.org,"Specialized,",,
Fremont Indian State Park Museum,"3820 W. Clear Creek Canyon Rd.
Sevier, UT 84766
", 435-527-4631,, fremontindian@utah.gov, www.stateparks.utah.gov/parks/fremont,"Archaeology,Park,,Services,Gift ShopGroup Tours,","Kari Carlisle, Curator",phone: 435-527-4631,e-mail: karicarlisle@utah.gov,"Bob Hanover, Park Manager",phone: 435-527-4631,e-mail: bobhanover@utah.gov,,
Frontier Homestead State Park Museum,"635 North Main
Cedar City, UT 84721
", 435-586-9290,, frontierhomestead@utah.gov, stateparks.utah.gov/parks/frontier-homestead,"History,,Services,Gift ShopSpecial Event Rental,Group Tours,",,
George S. Eccles Dinosaur Park,"1544 Park Boulevard
Ogden, UT 84401
", 801-393-3466,, dinotemp@ci.ogden.ut.us, www.dinosaurpark.org,"Natural History,","Kevin Ireland, Manager",phone: 801-629-8971,e-mail: kevinireland@ci.ogden.ut.us ,"Sayla Buehler, Asst. Manager",phone: 801-629-8874,e-mail: saylabuehler@ci.ogden.ut.us ,"Maggie Favero, Education Coordinator",phone: 801-629-8871,e-mail: maggiefavero@ci.ogden.ut.us,,
Glendinning Gallery,"617 East South Temple
Salt Lake City, UT 84102
", 801-533-5895,,,,"Art,",,
Golden Spike National Historic Site,"Visitor Information/Visitor Center
Brigham City, UT 84302
", 435-471-2209, 435-471-2341,, www.nps.gov/gosp/,"Park,",,
Gouldings Museum,"1000 Main Street
Monument Valley, UT 84536
", 435-727-3231, 435-727-3344, gouldings@gouldings.com, www.gouldings.com/,"History,",,
Great Basin Museum,"328 West 100 North
Delta, UT 84624
", 435-864-5013,,, www.greatbasinheritage.org/great-basin-heritage-Museum.html,"00-4:00; closed Sun, holidays and mid-Dec to Feb/Mar; hours vary in winter (phone for hours).",,
Hellenic Cultural Museum,"279 South 300 West
Salt Lake City, UT 84101
", 801-359-4163,,, www.pahh.com/hca/museum.html,"-noon; Sun 11:30-12:30; tours by appointment,Admissionsfree admission",,
Henefer Daughters of Utah Pioneers/History,"40 West Center Street
Henefer, UT 84033
",,,,,se every July 4th from 1:00-3:00 and by appointment; free admission.,,
Heritage Museum of Layton,"403 Wasatch Drive
Layton, UT 84041
", 801-546-3524,,,,"1:00-5:00,Admissionsfree admission",,
Hill Aerospace Museum,"7091 Wardleigh Road, Bldg. 1955
Hill AFB, UT 84056
", 801-825-5817,, foundation@aerospacxeutah.org, aerospaceutah.org,"Art,Culture,History,Library,Military,Science,Specialized,,Services,Gift ShopGroup Tours,","Aaron Clark, Museum Director",phone: 801-777-5706,e-mail: aaron.clark.10@us.af.mil,"Robb Alexander, Foundation Executive Director",phone: 801-825-5936,e-mail: robbalexander@aerospaceutah.org,"Justin Hall, Museum Curator",phone: 801-775-3570,e-mail: justin.hall.37@us.af.mil,"Kelsey Arnold, Administrative Assistant / Scheduling",phone: 801-825-5817,e-mail: kelsey@aerospaceutah.org,"Mark Standing, Foundation Education Specialist",phone: 801-775-3497,e-mail: mark@aerospaceutah.org,,
Hill Air Force Base,"7961 Wardleigh Road
Roy, UT 84056
", 801-777-1110,, photo@hill.af.mil, www.hill.af.mil,"Military,",,
Historic Pioneer Relic Hall,"50 North Main
Alpine, UT 84004
", 801-756-5490,,,,"History,",,
Huck's Museum and Trading Post,"U.S. Hwy. 191 South
Blanding, UT 84511
", 435-678-2329,,,,"8:00-5:00,AdmissionsAdults $3, children $2",,
Hurricane Valley Heritage Park and Museum,"35 W State St
Hurricane, UT 84737
", 435-635-3245,,,,"History,",,
Hyrum City Museum,"83 W. Main
Hyrum, UT 84319
",,,,,"Art,History,",,
Intermountain Herbarium,"Old Main Hill
Logan, UT 84322
", 435-797-1000,, mpiep@excite.com, herbarium.usu.edu,"Nature Centers,","Mary E. Barkworth, Director",,,
Jacob Hamblin Home,"U.S. Hwy 91
Santa Clara, UT 84765
", 435-673-2161,, VCSGeorge@ldschurch.org," www.lds.org/placestovisit/location/0,10634,1794-1-1-1,00.html","k,Admissionsfree admission.",,
John Hutchings Museum,"55 North Center
Lehi, UT 84043
", 801-768-7180,,, www.hutchingsmuseum.org,"Anthropology,Archaeology,Culture,History,Natural History,",,
Kamas Daughters of the Utah Pioneers,"Highway 189
Kamas, UT 84036
", 435-783-4638,,,,appointment.,,
Kanab Heritage House,"100 South Main, Unit 97
Kanab, UT 84741
", 435-644-3966,,, www.kanabheritage.com/," Oct, Mon-Fri 9:00-5:00 or by appointment. ",,
Kane County Daughters of Utah Pioneers,"Highway 89
Orderville, UT 84758
", 435-644-5726,,,,"History,",,
Kennecott's Bingham Canyon Mine Visitor Center,"12800 South State Route 111
Magna, UT 84044
", 801-252-3234,, info-kennecott@riotinto.com, www.kennecott.com/visitors-center/,"Specialized,",,
Kimball Art Center,"638 Park Avenue
Park City, UT 84060
", 435-649-8882, 435-649-8889,, www.kimball-art.org,"Art,",,
Lagoon Pioneer Village,"375 N Hwy 91
Farmington, UT 84025
", 801-451-8000,,, www.lagoonpark.com,"until dark, Apr-Oct,Admissionsadmission is charged for the amusement park--no separate admission to Pioneer Village",,
